source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
CD16+ NK cells,CD16+ NK cells,ADGRE5,CD55,0.05985762,0.0,-0.14645453,0.05985843665947255,0.047462374,-0.09664195,,,
CD16+ NK cells,CD16+ NK cells,C3,ITGAM_ITGB2,0.27511653,0.0,-0.014315211,0.2751169001356936,-25.154339,0.25536248,,,
CD16+ NK cells,CD16+ NK cells,C3,ITGAX_ITGB2,0.08756294,0.0,-0.0049785445,0.0875570448766631,-26.384583,-0.009172252,,,
CD16+ NK cells,CD16+ NK cells,C5,C5AR1,-0.1340525,1.0,0.00644358,-0.13405305284751287,-26.91422,0.0491042,,,
CD16+ NK cells,CD16+ NK cells,CD46,JAG1,0.0098790275,0.07,-5.5268996e-05,0.009875609561092423,-2.9631734,5.5126762e-05,,,
CD16+ NK cells,CD16+ NK cells,PLG,F2R,0.27669942,0.0,0.01034642,0.27669072974784165,inf,0.21373062,1.0,,
CD16+ NK cells,CD16+ NK cells,PLG,F2RL1,-0.013712495,1.0,-0.0009067122,-0.013712487626009405,inf,0.11266952,,,
CD16+ NK cells,CD16+ NK cells,PLG,F2RL2,0.038293883,0.0,0.0011084758,0.03829679930370424,inf,0.044468336,1.0,,
CD16+ NK cells,CD16+ NK cells,PLG,F2RL3,-0.0038327249,0.66,-0.00052388234,-0.003829472521437371,inf,0.006874335,,,
CD16+ NK cells,CD16+ NK cells,PLG,PARD3,-0.010910618,1.0,-0.0007981427,-0.010909625293001527,inf,0.009038791,,,
CD16+ NK cells,CD16+ NK cells,PROS1,AXL,-0.024167374,1.0,0.00036002605,-0.024167145107600103,-3.9811,0.00010583816,,,
CD16+ NK cells,CD16+ NK cells,VTN,ITGA2B_ITGB3,-0.04372568,1.0,-0.00051006203,-0.04372891872391955,-inf,0.00263307,,,
CD16+ NK cells,CD16+ NK cells,VTN,ITGA8_ITGB1,-0.0024434822,0.6,-5.6939545e-05,-0.002443141857036153,-inf,0.0006012952,,,
CD16+ NK cells,CD16+ NK cells,VTN,ITGAV_ITGB1,0.03883403,0.0,0.00039613148,0.03883442936727374,-inf,0.12365409,1.0,,
CD16+ NK cells,CD16+ NK cells,VTN,ITGAV_ITGB3,-0.030155735,1.0,-0.00036111532,-0.030157311274400356,-inf,0.0037587264,,,
CD16+ NK cells,CD16+ NK cells,VTN,ITGAV_ITGB5,-0.014575634,1.0,-0.0001901047,-0.014574533094461568,-inf,0.002692818,,,
CD16+ NK cells,CD16+ NK cells,VTN,ITGAV_ITGB8,-0.004852159,0.74,-8.337771e-05,-0.0048526916266909675,-inf,0.0005696714,,,
CD16+ NK cells,Classical monocytes,ADGRE5,CD55,0.2237401,0.0,0.00012337939,0.2237465275171958,0.48850983,8.14152e-05,1.0,,
CD16+ NK cells,Classical monocytes,C3,ITGAM_ITGB2,0.17821056,0.0,-0.009491103,0.17821722364233022,-25.107243,0.16930744,,,
CD16+ NK cells,Classical monocytes,C3,ITGAX_ITGB2,0.19119082,0.0,-0.010137278,0.1911918892033615,-25.554647,0.0046778456,,,
CD16+ NK cells,Classical monocytes,C5,C5AR1,0.7146215,0.0,-0.038860325,0.7146315491649913,-23.072884,-0.29614052,,,
CD16+ NK cells,Classical monocytes,CD46,JAG1,0.11502505,0.0,-0.00057780225,0.11501051990243731,5.6501164,0.0005763153,,,
CD16+ NK cells,Classical monocytes,PLG,F2R,-0.11273115,1.0,-0.004743573,-0.11272206030522978,inf,-0.097990096,,,
CD16+ NK cells,Classical monocytes,PLG,F2RL1,0.05685517,0.0,0.0018277046,0.05685600422615565,inf,-0.22711352,1.0,,
