source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
CD16+ NK cells,CD16+ NK cells,VTN,ITGAV,0.03883403,0.0,0.00039613148,0.03883442936727374,-inf,0.12365409,1.0,,
CD16+ NK cells,Classical monocytes,VTN,ITGAV,0.04308909,0.0,0.00044283597,0.04309078224196194,-inf,0.1382331,1.0,,
CD16+ NK cells,DC2,VTN,ITGAV,0.008164995,0.33,5.950143e-05,0.008165093393642275,-inf,0.01857362,1.0,,
CD16+ NK cells,Late erythroid,VTN,ITGAV,-0.062126175,1.0,-0.00071202987,-0.062126256590700216,-inf,-0.22226308,,,
CD16+ NK cells,MAIT cells,VTN,ITGAV,0.0032562932,0.39,5.622441e-06,0.003256420586185305,-inf,0.0017550684,1.0000001,,
CD16+ NK cells,Mast cells,VTN,ITGAV,0.1274483,0.01,0.0013687813,0.12744845488460416,-inf,0.42727077,1.0,,
CD16+ NK cells,Megakaryocyte precursor,VTN,ITGAV,0.025251107,0.33,0.00024704236,0.025251231520198706,-inf,0.07711529,1.0,,
CD16+ NK cells,Megakaryocytes/platelets,VTN,ITGAV,-0.05685759,1.0,-0.00065420073,-0.05685764426639375,-inf,-0.20421149,,,
CD16+ NK cells,Memory B cells,VTN,ITGAV,-0.046328638,1.0,-0.0005386327,-0.04632800966596513,-inf,-0.16813642,,,
CD16+ NK cells,NK cells,VTN,ITGAV,0.008102215,0.34,5.881234e-05,0.008102323175168687,-inf,0.018358517,1.0,,
CD16+ NK cells,Naive B cells,VTN,ITGAV,-0.05255886,1.0,-0.00060701696,-0.05256067972497932,-inf,-0.18948287,,,
CD16+ NK cells,Non-classical monocytes,VTN,ITGAV,0.037899267,0.03,0.0003858713,0.03789954110888324,-inf,0.12045133,1.0,,
CD16+ NK cells,Plasma cells,VTN,ITGAV,-0.025899757,0.78,-0.00031440076,-0.0258995998472067,-inf,-0.09814151,,,
CD16+ NK cells,Regulatory T cells,VTN,ITGAV,0.008945562,0.28,6.80691e-05,0.008945725192483172,-inf,0.021248054,1.0,,
CD16+ NK cells,Tcm/Naive cytotoxic T cells,VTN,ITGAV,-0.035400547,1.0,-0.00041868354,-0.035401436551803334,-inf,-0.13069381,,,
